house_id,square_feet,bedrooms,bathrooms,year_built,garage_cars,neighborhood_quality,price_usd
HS_201,1500,3,2.0,2005,2,7,285000
HS_202,2200,4,2.5,2015,2,9,420000
HS_203,980,2,1.0,1980,1,5,165000
HS_204,3100,5,3.5,2020,3,10,650000
HS_205,1850,3,2.0,1998,2,6,310000
HS_206,2600,4,3.0,2018,3,8,510000
HS_207,1200,2,1.5,1990,1,6,210000
HS_208,2800,4,3.0,2012,2,9,540000
HS_209,1650,3,2.0,2008,2,7,330000
HS_210,1400,3,1.5,1985,1,5,240000
HS_211,3500,5,4.0,2022,3,10,780000
HS_212,1950,3,2.5,2010,2,8,375000
HS_213,1100,2,1.0,1975,1,4,175000
HS_214,2400,4,2.5,2016,2,8,460000
HS_215,1750,3,2.0,2003,2,7,325000
HS_216,2900,4,3.5,2019,3,9,590000
HS_217,1300,2,1.5,1995,1,6,225000
HS_218,2100,3,2.5,2014,2,8,410000
HS_219,850,1,1.0,1968,0,3,130000
HS_220,3200,5,3.5,2021,3,10,710000
